"MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_Z6","SOL_BD6","SOL_AWC6","SOL_K6","SOL_CBN6","CLAY6","SILT6","SAND6","ROCK6","SOL_ALB6","USLE_K6","SOL_EC6","SOL_Z7","SOL_BD7","SOL_AWC7","SOL_K7","SOL_CBN7","CLAY7","SILT7","SAND7","ROCK7","SOL_ALB7","USLE_K7","SOL_EC7","SOL_Z8","SOL_BD8","SOL_AWC8","SOL_K8","SOL_CBN8","CLAY8","SILT8","SAND8","ROCK8","SOL_ALB8","USLE_K8","SOL_EC8","SOL_Z9","SOL_BD9","SOL_AWC9","SOL_K9","SOL_CBN9","CLAY9","SILT9","SAND9","ROCK9","SOL_ALB9","USLE_K9","SOL_EC9","SOL_Z10","SOL_BD10","SOL_AWC10","SOL_K10","SOL_CBN10","CLAY10","SILT10","SAND10","ROCK10","SOL_ALB10","USLE_K10","SOL_EC10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABABCgl~~~N","1001","ABABCgl~~~N","SLCAB","100","6","3","1600","0.5","0.5","Not available","130","1.35","10","100","0.3","11","39","50","5","0.1","0.174073173943904","0","230","1.45","13","100","0.4","28","29","43","5","0","0","0","580","1.55","14","30","0.4","32","27","41","5","0","0","0","910","1.55","14","30","0.4","30","28","42","5","0","0","0","1200","1.45","13","30","0.5","28","29","43","5","0","0","0","1600","1.45","14","10","0","30","30","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABCst~~~A","1002","ABABCst~~~A","SLCAB","100","6","2","1600","0.5","0.5","Not available","180","1.25","12","100","1.5","20","35","45","20","0.1","0.134936073742501","0","230","1.45","13","100","0.4","28","29","43","20","0","0","0","580","1.55","14","30","0.4","32","27","41","15","0","0","0","910","1.55","14","30","0.4","30","28","42","15","0","0","0","1200","1.45","13","30","0","28","29","43","15","0","0","0","1600","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABCst~~~N","1003","ABABCst~~~N","SLCAB","100","6","2","1600","0.5","0.5","Not available","130","1.35","10","100","0.3","11","39","50","20","0.1","0.174073173943904","0","230","1.45","13","100","0.4","28","29","43","20","0","0","0","580","1.55","14","30","0.4","32","27","41","15","0","0","0","910","1.55","14","30","0.4","30","28","42","15","0","0","0","1200","1.45","13","30","0.5","28","29","43","15","0","0","0","1600","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABC~~~~~A","1004","ABABC~~~~~A","SLCAB","100","5","2","1000","0.5","0.5","Not available","180","1.25","12","100","1.5","25","30","45","5","0.1","0.125958960073594","0","230","1.45","13","100","0.4","28","29","43","5","0","0","0","580","1.55","14","30","0.4","32","27","41","5","0","0","0","910","1.55","14","30","0.4","30","28","42","5","0","0","0","1000","1.45","13","30","0.5","28","29","43","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABC~~~~~N","1005","ABABC~~~~~N","SLCAB","100","6","2","1600","0.5","0.5","Not available","130","1.35","10","100","0.3","11","39","50","5","0.1","0.174073173943904","0","230","1.45","13","100","0.4","28","29","43","5","0","0","0","580","1.55","14","30","0.4","32","27","41","5","0","0","0","910","1.55","14","30","0.4","30","28","42","5","0","0","0","1200","1.45","13","30","0.5","28","29","43","5","0","0","0","1600","1.45","14","10","0","30","30","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABACE~~~~~A","1006","ABACE~~~~~A","SLCAB","100","5","3","1000","0.5","0.5","Not available","150","1.25","12","100","3.5","20","35","45","2","0.1","0.124657416412785","0","300","1.4","13","100","1","25","30","45","2","0","0","0","600","1.4","14","100","0.8","30","35","35","2","0","0","0","750","1.5","14","30","0","25","35","40","2","0","0","0","1000","1.45","14","10","0","30","30","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABACV~~~~~A","1007","ABACV~~~~~A","SLCAB","100","4","4","1000","0.5","0.5","Not available","120","1","12","30","1.3","63","28","9","0","0.1","0.16494572480947","0","250","1.25","17","10","1.2","61","31","8","0","0","0","0","510","1.3","18","0","0","60","33","7","0","0","0","0","1000","1.25","17","0","0","64","29","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABACV~~~~~N","1008","ABACV~~~~~N","SLCAB","100","4","4","1000","0.5","0.5","Not available","100","0.9","11","30","1.7","63","28","9","0","0.1","0.151969791404468","0","250","1.25","17","10","1.2","61","31","8","0","0","0","0","510","1.3","18","0","0","60","33","7","0","0","0","0","1000","1.25","17","0","0","64","29","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADMgl~~~N","1009","ABADMgl~~~N","SLCAB","100","6","2","1200","0.5","0.5","Not available","200","1.15","14","300","6.5","24","44","32","0","0.1","0.141658341093386","0","300","1.15","12","300","3.1","25","40","35","0","0","0","0","400","1.35","14","100","0.7","22","42","36","0","0","0","0","700","1.5","16","100","0.4","25","45","30","0","0","0","0","950","1.5","14","30","0.4","22","41","37","0","0","0","0","1200","1.4","15","30","0","20","50","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
